id,task,task_label,contestant,contestant_label,base,adjustment,points,rank,rigid,spread,scale,5+3,3+2,3½+2½
118,28,Move the boulder as far as possible,3,Frank Skinner,4,,4,2,4.0,4.0,4.0,,,
119,28,Move the boulder as far as possible,4,Josh Widdicombe,5,,5,1,5.0,5.0,5.0,,,
120,28,Move the boulder as far as possible,5,Roisin Conaty,1,,1,5,1.0,1.0,1.0,,,
121,28,Move the boulder as far as possible,6,Romesh Ranganathan,2,,2,4,2.0,2.0,2.0,,,
122,28,Move the boulder as far as possible,7,Tim Key,3,,3,3,3.0,3.0,3.0,,,
123,29,Grow the longest nail,3,Frank Skinner,3,,3,3,3.0,3.0,3.0,,,
124,29,Grow the longest nail,4,Josh Widdicombe,5,,5,1,5.0,5.0,5.0,,,
125,29,Grow the longest nail,5,Roisin Conaty,2,,2,4,2.0,2.0,2.0,,,
126,29,Grow the longest nail,6,Romesh Ranganathan,4,,4,2,4.0,4.0,4.0,,,
127,29,Grow the longest nail,7,Tim Key,1,,1,5,1.0,1.0,1.0,,,
128,30,Make a bed while holding hands,3,Frank Skinner,2,,2,1=,,,5.0,5.0,3.0,3.5
129,30,Make a bed while holding hands,4,Josh Widdicombe,0,,0,,,,,,,
130,30,Make a bed while holding hands,5,Roisin Conaty,0,,0,,,,,,,
131,30,Make a bed while holding hands,6,Romesh Ranganathan,0,,0,,,,,,,
132,30,Make a bed while holding hands,7,Tim Key,2,,2,1=,,,5.0,5.0,3.0,3.5
133,31,Make a Swedish person blush,3,Frank Skinner,3,,3,3,3.0,3.0,3.0,,,
134,31,Make a Swedish person blush,4,Josh Widdicombe,1,,1,5,1.0,1.0,1.0,,,
135,31,Make a Swedish person blush,5,Roisin Conaty,5,,5,1,5.0,5.0,5.0,,,
136,31,Make a Swedish person blush,6,Romesh Ranganathan,4,,4,2,4.0,4.0,4.0,,,
137,31,Make a Swedish person blush,7,Tim Key,2,,2,4,2.0,2.0,2.0,,,
138,32,Inflate the largest balloon while blindfolded,3,Frank Skinner,4,,4,2,4.0,4.0,4.0,,,
139,32,Inflate the largest balloon while blindfolded,4,Josh Widdicombe,2,,2,4,2.0,2.0,2.0,,,
140,32,Inflate the largest balloon while blindfolded,5,Roisin Conaty,5,,5,1,5.0,5.0,5.0,,,
141,32,Inflate the largest balloon while blindfolded,6,Romesh Ranganathan,3,,3,3,3.0,3.0,3.0,,,
142,32,Inflate the largest balloon while blindfolded,7,Tim Key,,,0,,,,,,,
143,33,The most satisfying item,3,Frank Skinner,2,,2,4,2.0,2.0,2.0,,,
144,33,The most satisfying item,4,Josh Widdicombe,4,,4,2,4.0,4.0,4.0,,,
145,33,The most satisfying item,5,Roisin Conaty,1,,1,5,1.0,1.0,1.0,,,
146,33,The most satisfying item,6,Romesh Ranganathan,3,,3,3,3.0,3.0,3.0,,,
147,33,The most satisfying item,7,Tim Key,5,,5,1,5.0,5.0,5.0,,,
148,34,Play mini golf with eggs,3,Frank Skinner,4,,4,2,4.0,4.0,4.0,,,
149,34,Play mini golf with eggs,4,Josh Widdicombe,2,,2,4,2.0,2.0,2.0,,,
150,34,Play mini golf with eggs,5,Roisin Conaty,5,,5,1,5.0,5.0,5.0,,,
